chr	gene	test_q	q_var	pval
1	AGO3	3.19187540064e-05	9.58279170832e-09	0.999662809377
1	AGO4	2.50866090081e-05	3.47482204458e-09	0.931486633923
1	AGRN	0.000217452655922	3.21627694582e-08	0.988832772795
1	AGT	0.0002569082971	3.70628779199e-08	0.998046452397
1	AGTRAP	0.000223648496682	3.18779660576e-08	0.998751382921
1	AHCTF1	0.000629333846509	3.34709725328e-08	0.71442456558
1	AHCYL1	2.40460289546e-05	1.15125887047e-08	0.999969173402
1	AHDC1	0.000240705285404	2.60624844545e-08	0.995421168133
1	AIDA	5.61825301918e-05	1.55981680955e-08	0.999954843898
1	AIM1L	0.000356806936913	3.96066339737e-08	0.977710112135
1	AIM2	0.000269595829315	1.58866067304e-08	0.840482120626
1	AJAP1	0.000468858261248	1.20944824914e-07	0.999999977949
1	AK2	0.000133754403579	1.49390608733e-08	0.972662875286
1	AK4	6.61646809693e-05	2.65048535194e-08	0.99999994803
1	AK5	0.000406804949161	9.41490937121e-08	0.999902644964
1	AKIRIN1	6.0086601243e-05	1.31208176454e-08	0.995928737076
1	AKNAD1	3.45620902082e-05	2.6788658429e-08	0.999999999937
1	AKR1A1	0.000417774199406	1.33389489165e-08	0.233050516141
1	AKR7A2	0.000518575919444	2.72632509138e-08	0.443261601513
1	AKR7A2P1	0.0	1.1401359877e-08	1.0
1	AKR7A3	0.000518575919444	2.61469829586e-08	0.391233055859
1	AKR7L	0.000518670829302	2.48391911201e-08	0.340862138825
1	AKT3	0.00153496853368	6.35962523087e-08	0.180885360593
1	ALDH4A1	0.000176732861544	6.82604025396e-08	0.999999992205
1	ALDH9A1	6.76005272561e-05	3.99682165182e-08	0.999999991358
1	ALG6	0.000183827117198	4.0471153677e-08	0.999963243884
1	ALG14	0.000250394198612	3.49693325329e-08	0.987408215414
1	ALPL	0.000665579451865	7.62416727918e-08	0.962256102685
1	ALX3	0.000122426921603	1.31465124884e-08	0.969169345839
1	AMIGO1	0.000366878620519	1.11358319207e-08	0.402520432989
1	AMPD1	8.2380997575e-05	7.48316211234e-09	0.940606801071
1	AMPD2	9.04128417963e-05	2.40501034898e-08	0.999404205694
1	AMY1A	0.000191748061918	6.50844187315e-09	0.354622918138
1	AMY1B	0.000191748061918	6.50844187315e-09	0.354622918138
1	AMY1C	0.000191748061918	6.50844187315e-09	0.354622918138
1	AMY2A	4.88261155457e-05	1.72281184454e-09	0.499998471019
1	AMY2B	4.88261155457e-05	4.35051983848e-09	0.892487705282
1	ANGEL2	4.79178941893e-05	1.16996973344e-08	0.998982837335
1	ANGPTL1	5.46807800231e-06	1.05896687116e-08	0.999999900789
1	ANGPTL3	0.00186367114623	7.45805153371e-09	8.85714894761e-08
1	ANGPTL7	2.58610505202e-05	3.44891022933e-09	0.92792078869
1	ANKRD13C	6.6600788779e-05	1.48747428507e-08	0.998995056143
1	ANKRD34A	0.000108255751507	1.13980444264e-08	0.970787872866
1	ANKRD35	0.000389775215763	2.0015191685e-08	0.674273040168
1	ANKRD36BP1	1.34386463386e-06	1.7559704844e-08	1.0
1	ANKRD45	0.000192300864591	4.32826711597e-09	0.255811179298
1	ANKRD65	7.68574107454e-05	3.45413298651e-09	0.618695227479
1	ANP32E	7.71380449512e-05	6.80551275113e-09	0.906655491548
1	ANXA9	0.00063107379438	3.12729986163e-08	0.459261869655
1	AP4B1	0.000577446319328	1.41880276004e-08	0.12238280057
1	AP4B1-AS1	0.000773085016642	1.81641379088e-08	0.0710947924469
1	APCS	0.000150950154294	1.02673750973e-08	0.859360969395
1	APH1A	7.39662172128e-05	1.4782370592e-08	0.993919072106
1	APITD1	0.000138175558769	1.31653083405e-08	0.97467910129
1	APITD1-CORT	0.000138175558769	1.31653083405e-08	0.97467910129
1	APOA1BP	0.00020377866125	1.62463491688e-08	0.910803786872
1	APOA2	0.000799243938374	3.34913721188e-08	0.204829056301
1	APOBEC4	0.000167615368465	7.45806651276e-09	0.668306726038
1	AQP10	7.26866667648e-05	2.35134421503e-08	0.999009727449
1	ARF1	8.4488131987e-05	1.32154011268e-08	0.993413997929
1	ARHGAP29	0.000442724799599	1.91673156296e-08	0.560307462873
1	ARHGAP30	0.000144960451635	2.28899072345e-08	0.996935194708
1	ARHGEF2	3.58250762046e-08	1.0110275516e-08	1.0
1	ARHGEF10L	0.00038767846248	8.72946287931e-08	0.999999997297
1	ARHGEF11	0.00143988573772	6.10802409082e-08	0.106494167744
1	ARHGEF16	0.000270601472899	4.18227693372e-08	0.99846234452
1	ARHGEF19	0.000321691884135	1.85948616329e-08	0.703029564139
1	ARID1A	0.00114927690425	1.4584992162e-08	0.00133987727759
1	ARID4B	7.03388365561e-05	1.22358172797e-08	0.997806604018
1	ARL8A	0.000178305376956	2.62327875813e-08	0.998992029717
1	ARNT	6.0173673526e-05	1.39694611836e-08	0.999487107223
1	ARPC5	0.000182299200614	1.04114110974e-08	0.847070068055
1	ARTN	0.000158523026481	6.92675347933e-09	0.71297961416
1	ARV1	1.91768659959e-06	3.32538771895e-08	1.0
1	ASAP3	0.000142478511294	1.91561304302e-08	0.999245657925
1	ASB17	0.000100563315469	1.0301470226e-08	0.96013638673
1	ASCL5	0.000160662036164	4.23722023014e-08	0.999942188965
1	ASH1L	0.000410230929202	1.00524952878e-08	0.236764116684
1	ASH1L-AS1	7.82402030931e-05	2.58923783093e-09	0.435354542857
1	ASPM	0.000221911079954	1.14696960627e-08	0.723811655005
1	ASTN1	0.000651181874294	7.57976584074e-08	0.996751903069
1	ATAD3A	0.000817386890292	6.92822904469e-09	0.000756800878613
1	ATAD3B	0.0	1.72501049352e-09	1.0
1	ATAD3C	7.68326116961e-05	1.72379869353e-09	0.500002913076
1	ATF3	0.000131685544314	4.79672011032e-08	0.99999887784
1	ATF6	0.000879222698149	7.11534332684e-08	0.902430886105
1	ATG4C	0.00424440961839	1.78928913079e-08	3.25017790459e-12
1	ATP1A1	6.58877947233e-05	1.45027036849e-08	0.999084848666
1	ATP1A1-AS1	0.000108943604532	1.53087704441e-08	0.994637031085
1	ATP1A2	9.10938372688e-05	5.25197292032e-08	0.999999999649
1	ATP1A4	0.000325967738157	5.00759784375e-08	0.999222941216
1	ATP1B1	0.000425362083784	3.03688189403e-08	0.898115091759
1	ATP2B4	0.000589520615133	4.08135131393e-08	0.973939565692
1	ATP5F1	0.000569018107714	2.92214786944e-08	0.68415160788
1	ATP6V0B	0.000151166837166	7.99011455309e-09	0.719669312121
1	ATP6V1G3	6.83101056538e-05	1.33539011384e-08	0.999154169045
1	ATP8B2	0.00021239359766	2.59892292997e-08	0.944924788461
1	ATP13A2	0.000170680368267	2.06647820739e-08	0.987543830962
1	ATPAF1	0.0012068787464	1.56180869853e-08	0.00155666453416
1	ATPIF1	0.00028845774983	1.22929752551e-08	0.608946768255
1	ATXN7L2	0.000412451056736	7.80084275386e-09	0.121394843901
1	AUNIP	0.000229757108421	1.98579220187e-08	0.952101613648
1	AURKAIP1	7.68574107454e-05	5.8525039707e-09	0.839824305648
1	AURKAPS1	0.000206082786529	1.90807671397e-08	0.984439882303
1	AVPR1B	0.000231872934914	2.22564526668e-08	0.977082223531
1	AXDND1	9.07865697037e-05	1.92947666156e-07	0.999999995631
1	B3GALNT2	0.00122946393394	1.80563407023e-08	0.00255710193287
1	B3GALT2	6.56806755819e-05	8.76802227344e-09	0.98428495354
1	B3GALT6	9.54341611233e-05	2.04699575687e-08	0.999012972954
1	B4GALT2	0.000151166837166	8.90724281977e-09	0.802004571856
1	B4GALT3	0.000755585680514	1.87865144849e-08	0.0679012465841
1	BAI2	6.90314256964e-05	1.81140760172e-08	0.999713798611
1	BARHL2	0.000507020024059	1.97428398631e-08	0.362185725912
1	BATF3	0.000225908862274	3.10374218754e-08	0.991754617377
1	BCAN	0.000380395247632	3.30628942749e-08	0.97855651869
1	BCAR3	0.000802767982885	6.44384555029e-08	0.983724887077
1	BCAS2	0.000211297355886	1.28730715058e-08	0.73708674859
1	BCL2L15	0.000641195157066	1.47931676126e-08	0.0797470109032
1	BCL9	0.00068269257135	6.11737034763e-08	0.972724301782
1	BCL10	5.91906150656e-05	2.54722572084e-08	0.999832068603
1	BECN1P1	0.000173914838135	3.52112407349e-08	0.999447369837
1	BEND5	0.000301245549252	1.96440973549e-08	0.806169722251
1	BEST4	3.30223815491e-05	6.96211391112e-09	0.990443052164
1	BGLAP	0.000655590158156	2.23482471636e-08	0.277691303283
1	BLACAT1	0.000581825828297	4.3237942166e-08	0.950362034718
1	BLZF1	6.00863001613e-05	1.64541497996e-08	0.999703184041
1	BMP8A	0.000348800151595	1.71168752074e-08	0.497922082262
1	BMP8B	0.000559742980112	3.94630092301e-08	0.832690896617
1	BNIPL	0.000447619718901	2.79036008507e-08	0.693184068573
1	BOLA1	9.2140325603e-05	1.1821398109e-08	0.98290312738
1	BPNT1	1.09111494446e-05	6.22140346421e-09	0.999781393144
1	BRDT	0.0	1.29391860364e-08	1.0
1	BRINP2	0.000184492746006	2.78497342316e-08	0.993521006292
1	BRINP3	8.63927331302e-05	5.69788373515e-08	0.999999999974
1	BROX	5.56950282073e-06	1.26862906872e-08	0.999999981074
1	BSDC1	0.000141369602037	1.17368509143e-08	0.97723169823
1	BSND	0.000102571583853	3.611708431e-08	0.999999595497
1	BTBD8	9.74399327965e-05	1.57967214599e-08	0.996498687212
1	BTBD19	2.72830185104e-05	3.45870032571e-09	0.920219068798
1	BTF3L4	8.21466863411e-06	4.32748370139e-09	0.997989717957
1	BTG2	0.000127212085188	2.10498127421e-08	0.997479296656
1	BTNL10	0.00025486735887	1.23581623809e-08	0.615773295734
1	C1orf21	0.000929259584534	6.61530317548e-08	0.851065215022
1	C1orf27	0.000118436665603	2.09112285139e-08	0.990888490108
1	C1orf35	0.000338855013711	1.33711786211e-08	0.46331839474
1	C1orf43	0.0001915203799	1.07659071804e-08	0.818769808782
1	C1orf50	0.000219444611276	1.70781461096e-08	0.917224698248
1	C1orf52	5.91906150656e-05	2.52521629694e-08	0.999820390377
1	C1orf53	0.00067100608823	2.08897774109e-08	0.213683928551
1	C1orf54	2.65874585166e-05	1.6100366085e-08	0.999977221997
1	C1orf56	0.000447619718901	2.79036008507e-08	0.693184068573
1	C1orf61	0.000511915981195	2.00872525637e-08	0.539939560014
1	C1orf64	7.38096867674e-05	2.8983401904e-08	0.999950760117
1	C1orf68	0.000336517807618	6.70016294937e-09	0.129833841099
1	C1orf74	5.29780279999e-05	1.77140557872e-08	0.993745209728
1	C1orf85	0.000768629855938	4.1002004906e-08	0.382082057018
1	C1orf86	0.00104561185772	2.125299379e-08	0.0237113242445
1	C1orf87	0.000113181962208	3.73059485197e-08	0.999996463639
1	C1orf94	0.000558493005627	4.82242967845e-08	0.982041296877
1	C1orf95	0.000988423510868	5.6051196007e-08	0.528673453271
1	C1orf100	0.000417301266252	3.89648825695e-08	0.982098938616
1	C1orf101	0.000617350839595	8.02821731593e-08	0.999718427339
1	C1orf105	0.000549036874691	2.28286946663e-08	0.516252253927
1	C1orf106	0.000255804579225	2.19989953314e-08	0.962596658559
1	C1orf109	0.000365593292583	3.40313395712e-08	0.958724769059
1	C1orf110	0.000112656721301	1.99550090287e-08	0.997543328354
1	C1orf111	0.000272280538021	6.00280974949e-08	0.999995304532
1	C1orf112	0.000272932539596	3.0456753287e-08	0.944227318815
1	C1orf115	0.000672240239321	1.59080234598e-08	0.0677434422767
1	C1orf116	0.000524085003378	3.22360558017e-08	0.643479433236
1	C1orf122	7.78762621071e-05	1.17639841981e-08	0.980113610139
1	C1orf123	0.000703276506008	2.11465526324e-08	0.253352167992
1	C1orf127	0.000278219325267	3.21217309109e-08	0.997763147235
1	C1orf131	0.000613799509757	2.90428595951e-08	0.604659260719
1	C1orf137	0.000728354860396	2.32764614734e-08	0.135104739024
1	C1orf140	0.000185655839525	1.22199842629e-08	0.816669164567
1	C1orf141	6.57542541431e-06	2.30994171641e-08	0.999999999999
1	C1orf145	0.0	1.7238427611e-09	1.0
1	C1orf146	2.66149283258e-06	5.19529559067e-09	0.999984831865
1	C1orf158	0.000321910921828	1.65458183036e-08	0.487001061275
1	C1orf159	0.00028419352913	2.83055561196e-08	0.961704553632
1	C1orf162	0.000787367599557	3.07809030256e-08	0.363955623412
1	C1orf167	0.000230180519183	5.52893356281e-08	0.99961484504
1	C1orf168	0.000601404977627	8.22989202771e-08	0.999912496579
1	C1orf174	0.000302964993832	3.42236102599e-08	0.986924688602
1	C1orf177	0.000672355832075	4.40231582073e-08	0.784453430349
1	C1orf180	0.000125937883357	9.7531921463e-09	0.92238042305
1	C1orf185	0.000302392256852	8.86178088457e-09	0.324128608597
1	C1orf186	0.000272081826132	3.1388452393e-08	0.994579577542
1	C1orf189	0.000139862391773	8.5013174539e-09	0.842476592091
1	C1orf192	0.000145394810955	9.8419313241e-09	0.80649363086
1	C1orf194	8.65207045424e-05	1.79662375188e-08	0.998992039746
1	C1orf195	0.000178479424439	3.46236644665e-08	0.990682150939
1	C1orf198	0.000163091507393	3.5151484955e-08	0.996735250256
1	C1orf200	0.000110601017216	9.11306357421e-09	0.9539269515
1	C1orf204	0.000322996015994	4.05163110042e-08	0.998467569991
1	C1orf210	2.65975842732e-05	1.72792955422e-08	0.999999900929
1	C1orf213	8.24761946297e-05	1.14539574671e-08	0.995797283795
1	C1orf216	9.62148410001e-05	3.45341247659e-09	0.499996870025
1	C1orf220	1.14292963731e-06	1.19387722082e-08	0.999999999997
1	C1orf226	0.000272280538021	6.00280974949e-08	0.999995304532
1	C1orf228	0.000142269318669	2.37698867337e-08	0.999708832535
1	C1orf229	0.000469825482302	2.01899534525e-08	0.369347237354
1	C1orf233	0.00082733814845	1.00625304594e-08	0.00388625643496
1	C1orf234	0.0	9.56471410573e-09	1.0
1	C1QA	5.00979138184e-05	2.74634358643e-08	0.999999915675
1	C1QB	4.31353209361e-05	2.80963565395e-08	0.999999979168
1	C1QC	3.90662309273e-05	2.65844944812e-08	0.999999992139
1	C2CD4D	5.25196512002e-05	1.89009783021e-08	0.999942705135
1	C4BPA	9.10818076828e-05	2.82479188293e-08	0.999994673839
1	C4BPB	0.000387376640311	2.80975603471e-08	0.916270143084
1	C8A	0.000554964499113	8.7132649916e-08	0.999830419028
1	C8B	0.000169972712145	4.91156684206e-08	0.999996859621
1	CA6	0.000375058842586	5.02261732676e-08	0.999433333359
1	CA14	7.39662172128e-05	1.4782370592e-08	0.993919072106
1	CACHD1	0.000641978332277	8.66435920955e-08	0.999961393701
1	CACNA1E	0.000790348327142	9.89692196379e-08	0.99967178478
1	CACNA1S	0.000272230753593	5.59771016925e-08	0.999973114314
1	CACYBP	0.000492556616737	1.68474091747e-08	0.227708098218
1	CADM3	0.000369817755649	2.09617777194e-08	0.771567939491
1	CADM3-AS1	0.000369817755649	1.9573237248e-08	0.720937477063
1	CALML6	4.8233642068e-08	7.43926750885e-09	0.999999999806
1	CAMK1G	0.000718569674921	5.55357051362e-08	0.955406641061
1	CAMK2N1	0.000189231406812	2.16359997596e-08	0.977055982644
1	CAMSAP2	0.000311117621454	4.50922320739e-08	0.994490402253
1	CAMTA1	0.00358895617936	3.31092093602e-07	0.998029676334
1	CAP1	7.83061814899e-05	2.30232204387e-08	0.999743166402
1	CAPN2	0.000563748358576	3.1715092947e-08	0.731768555413
1	CAPN8	0.000532447881221	5.34296176018e-08	0.944228750593
1	CAPN9	0.00041649097171	4.63644229596e-08	0.994953890246
1	CAPZA1	0.000586360726643	2.03587801671e-08	0.282332887277
1	CAPZB	0.000146752159094	5.47479174062e-08	0.999999920159
1	CASP9	0.000206952097965	2.7688925791e-08	0.977965702439
1	CASQ1	0.000366260129239	3.45329908647e-08	0.980582298568
1	CASQ2	8.81449402134e-05	6.52367244174e-08	0.999999999997
1	CASZ1	0.00153774292657	7.13619442959e-08	0.70494437755
1	CATSPER4	6.69206689828e-05	2.18109206105e-08	0.999807349909
1	CC2D1B	5.8253088266e-05	6.05213374298e-09	0.960452570828
1	CCBL2	0.000127549744413	1.42011159282e-08	0.979524900233
1	CCDC17	7.79778673472e-05	1.03906799735e-08	0.984087704888
1	CCDC18	0.000363936793611	1.25554694356e-08	0.485491836218
1	CCDC19	0.000268721090064	4.29333824369e-08	0.999632489608
1	CCDC23	0.000195226390613	1.38061506163e-08	0.899485354217
1	CCDC24	0.000151166837166	1.10635491307e-08	0.849950782804
1	CCDC27	6.09035611149e-08	1.99056334642e-08	1.0
1	CCDC28B	8.15920397048e-05	1.0740493194e-08	0.99153575974
1	CCDC30	0.000403173629809	2.48395037406e-08	0.680319547406
1	CCDC163P	0.000482581144866	1.2016582412e-08	0.141126586193
1	CCDC181	6.00863001613e-05	1.57938134842e-08	0.999737860938
1	CCDC185	0.000142022126328	1.95024782664e-08	0.983352883111
1	CCNL2	7.68574107454e-05	4.98174857877e-09	0.737390936278
1	CCSAP	0.000249405660444	3.73899481522e-08	0.997269035997
1	CCT3	0.000771713801297	5.55876070422e-08	0.615244036952
1	CD1A	1.68863819482e-05	4.35412269774e-09	0.988950274298
1	CD1B	0.000169734739624	1.46856426871e-08	0.960464610792
1	CD1C	0.000133326774373	1.04658610201e-08	0.9445549164
1	CD1D	7.31530909631e-05	8.231506735e-09	0.904060015575
1	CD1E	0.000501075496237	2.12996549389e-08	0.368230895568
1	CD2	0.000153631365044	2.48964383193e-08	0.997211284856
1	CD5L	0.000433418344099	1.17108132163e-08	0.257468285638
1	CD34	0.000365529371365	4.25286702008e-08	0.93837803863
1	CD46	7.37689894117e-05	1.26368926947e-08	0.996874149988
1	CD48	0.000567227330856	4.69102866459e-08	0.981533377507
1	CD52	0.000195362045558	2.85921950624e-08	0.952675758571
1	CD53	0.000277364219232	1.63063032015e-08	0.821680686077
1	CD55	0.00031798922508	2.13241613509e-08	0.816997391936
1	CD58	0.000432010634071	2.21163950396e-08	0.809888634128
1	CD84	0.000505667411097	1.84514569998e-08	0.428486404426
1	CD101	0.00044049251296	4.69171233898e-08	0.988578731102
1	CD160	0.000695168428995	1.33059596768e-08	0.0457849743919
1	CD164L2	0.00071450203691	1.77339853983e-08	0.102872202051
1	CD244	0.000132438262134	1.78932350408e-08	0.981381424973
1	CD247	0.000578677617158	8.01728430462e-08	0.999995379304
1	CDA	0.000119962174196	4.65382069848e-08	0.999916875683
1	CDC7	9.51703532743e-05	3.26140076496e-08	0.999947512928
1	CDC14A	0.000402863990036	4.04485015553e-08	0.933959128517
1	CDC20	7.36025993275e-05	1.30816468565e-08	0.991895166534
1	CDC42	0.000299532702775	2.11059247979e-08	0.892711437818
1	CDC42BPA	0.000305410588643	4.74541988022e-07	0.999998762194
1	CDC42SE1	0.000116477239498	2.67499163435e-08	0.999299745467
1	CDC73	0.000365260869039	3.84014922518e-08	0.947164581333
1	CDCA8	0.000380897854326	3.64046937038e-08	0.972662681694
1	CDCP2	0.000145021540952	2.46578357711e-08	0.997922313626
1	CDK11A	8.65430445744e-05	8.25529433227e-09	0.924810542498
1	CDK11B	9.64943027329e-05	1.33546552077e-08	0.988689917577
1	CDK18	0.000364070464828	5.87962711081e-08	0.999867354971
1	CDKN2C	0.0	2.61290633503e-09	1.0
1	CELA2A	0.000405824308106	3.24274424601e-08	0.933092295505
1	CELA2B	0.000209127647085	3.09012269953e-08	0.99475718901
1	CELA3A	2.6447274596e-06	1.26982293128e-08	0.999999999975
1	CELA3B	0.000112363017017	1.21139219005e-08	0.98174438316
1	CELF3	9.67006017234e-06	1.0304798212e-08	0.999998498735
1	CELSR2	0.000580060751701	5.06868116212e-08	0.918273418751
1	CENPF	0.000582317960317	2.68312186798e-08	0.499748443401
1	CENPL	0.0	5.72754645422e-09	1.0
1	CEP85	0.000103460250806	2.56158879668e-08	0.999385267917
1	CEP104	0.000183735121337	5.38260835515e-08	0.999999551728
1	CEP170	0.00015021402651	1.25538747419e-08	0.833242036741
1	CEP350	0.00048799953992	3.08052160266e-08	0.713601911062
1	CEPT1	0.000213959179786	3.40753990605e-08	0.999714101238
1	CERS2	0.000605272615211	1.63752249944e-08	0.135967335327
1	CFH	0.000411738317629	2.04118819181e-08	0.554547082862
1	CFHR2	0.000127039303694	8.84062665325e-09	0.790013974715
1	CFHR3	6.51523623215e-05	5.0464934762e-09	0.796668103522
1	CFHR4	6.56848946092e-05	5.99154289075e-09	0.762565842975
1	CFHR5	0.000221599513404	1.23760899445e-08	0.714647112953
1	CGN	0.000185493806807	1.52869506665e-08	0.907315589428
1	CHD1L	3.41545177284e-05	3.43926136109e-08	0.999999782495
1	CHD5	0.000148129829137	4.01302510805e-08	0.999999843531
1	CHI3L1	0.000594064578558	3.16656952141e-08	0.777358992334
1	CHI3L2	0.000242985688791	5.55914692009e-08	0.999991676528
1	CHIA	0.000142273196125	6.92958775491e-08	0.999999191045
1	CHIAP2	0.000180894449902	4.52677996755e-08	0.999850531251
1	CHIT1	0.000564266649374	2.58092805702e-08	0.653690116177
1	CHML	0.00028812603096	5.00406703065e-08	0.999891970079
1	CHRM3	0.00114764848106	1.2202188609e-07	0.999097345056
1	CHRM3-AS1	0.000663081308965	2.76137768119e-08	0.520448728023
1	CHRM3-AS2	0.000299056503081	1.51427445246e-08	0.715033232659
1	CHRNB2	0.000219820688192	1.79439978224e-08	0.869290099119
1	CHTOP	0.000386719570912	2.16161782036e-08	0.840956347913
1	CIART	2.65874585166e-05	1.6100366085e-08	0.999977221997
1	CITED4	6.80571789998e-05	3.06492016917e-08	0.999999936724
1	CKS1B	0.000266850035206	1.96598834849e-08	0.908660160173
1	CLCA1	0.000528941403568	3.93691180037e-08	0.835194994801
1	CLCA2	0.000501159485205	5.14676163785e-08	0.913017113619
1	CLCA3P	1.55513307126e-06	1.17678193091e-08	0.999999999998
1	CLCA4	6.15084252944e-05	2.01230497273e-08	0.99993587025
1	CLCC1	2.11616899086e-05	4.23813117119e-08	1.0
1	CLCN6	0.000100814606606	6.38474195864e-08	0.999990084646
1	CLCNKA	8.31525672523e-05	2.9924459884e-08	0.999948146667
1	CLCNKB	8.27426277752e-05	3.25844696847e-08	0.999970506042
1	CLDN19	0.000254777836176	1.39945666119e-08	0.764357152854
1	CLIC4	0.000137193273738	1.97044114538e-08	0.992858025722
1	CLK2	0.00029560017415	6.26026993018e-09	0.500014337854
1	CLSPN	9.62148410001e-05	5.20216868086e-09	0.772139334472
1	CLSTN1	0.00129496588651	2.99383338376e-08	0.0255028963324
1	CMPK1	0.000243133410284	1.42886391229e-08	0.715300272128
1	CNIH3	0.00020070639972	4.64629995714e-08	0.99998805196
1	CNIH4	2.77134660866e-05	1.34282007769e-08	0.999993826188
1	CNKSR1	6.69206689828e-05	2.18109206105e-08	0.999807349909
1	CNN3	0.000180784926428	5.51660957792e-08	0.999999784804
1	CNR2	5.92293085305e-05	6.29728208936e-09	0.900370471618
1	CNST	0.000683307979125	5.19744606986e-08	0.847643327506
1	CNTN2	0.000302221723773	2.13306388856e-08	0.922410562454
1	COA6	0.000920146310247	3.82311237577e-08	0.392437110362
1	COA7	0.000162863542843	1.72449228977e-08	0.987848201301
1	COG2	0.000219823507859	6.04215159159e-08	0.9999991543
1	COL8A2	9.41548819805e-05	6.10964134246e-09	0.863476320705
1	COL9A2	0.00022718424392	2.31785119304e-08	0.986930594868
1	COL11A1	0.000215868152185	1.29285177653e-07	0.999999757872
1	COL16A1	4.07447384694e-05	2.20426325057e-08	0.999999946767
1	COL24A1	0.00075779462318	1.11799016161e-07	0.997850796723
1	COLGALT2	0.000354307711748	5.41182936484e-08	0.999552032295
1	COPA	0.000225362734428	2.34092453158e-08	0.987467689101
1	CORT	4.90418127802e-05	8.21739316774e-09	0.995184070049
1	COX20	0.00104954835682	2.12718220228e-08	0.0332312687196
1	CPSF3L	0.000255417839221	8.29008172923e-09	0.360024746206
1	CPT2	0.000925002267759	2.8332374786e-08	0.193355838743
1	CR1	9.26822919785e-05	2.81340382353e-08	0.999992072235
1	CR1L	7.21063628026e-05	2.80235684101e-08	0.999992244751
1	CR2	0.000231567704098	1.51014083778e-08	0.868942272138
1	CRABP2	0.000246446596797	2.71940869473e-08	0.990395106057
1	CRB1	0.000194811399572	3.78894924e-08	0.999951055022
1	CRCT1	0.000181342726221	1.64542081656e-08	0.941885173562
1	CREB3L4	1.11718127701e-05	8.39530184966e-09	0.999988498147
1	CREG1	0.000551767280896	4.76409520913e-08	0.985365401146
1	CRNN	4.14026199546e-05	8.05163085457e-09	0.992274354257
1	CROCC	0.000163472055165	8.05757528575e-09	0.672673206964
1	CROCCP3	8.11656741601e-05	8.99790109337e-09	0.966326096878
1	CRP	0.000436803429945	2.18645639716e-08	0.626173265748
1	CRTC2	1.11718127701e-05	1.05146291734e-08	0.999999517658
1	CRYZ	0.000180207272878	1.98017026944e-08	0.972130721274
1	CSDE1	0.000102473686209	7.54361087459e-09	0.807451383515
1	CSF1	0.00117424072536	4.27596847204e-08	0.217128220014
1	CSF3R	0.000709043014379	3.71659591771e-08	0.473169580148
1	CSMD2	0.00256264160653	2.82370818799e-07	0.999999584716
1	CSRP1	0.000297505722696	3.23538092772e-08	0.996139768985
1	CTBS	0.000870484632316	1.11128154284e-08	0.00424142902153
